Chicago White Sox,1987,443410.125
Chicago White Sox,1988,266250.0
Chicago White Sox,1989,290616.4
Chicago White Sox,1990,306177.419355
Chicago White Sox,1991,604273.821429
Chicago White Sox,1992,1005361.1
Chicago White Sox,1993,1280521.48387
Chicago White Sox,1994,1306127.86667
Chicago White Sox,1995,1341750.91429
Chicago White Sox,1996,1612125.0
Chicago White Sox,1997,1603888.88889
Chicago White Sox,1998,1161666.66667
Chicago White Sox,1999,800625.0
Chicago White Sox,2000,1073568.96552
Chicago White Sox,2001,2431617.2963
Chicago White Sox,2002,2113067.88889
Chicago White Sox,2003,1961923.07692
Chicago White Sox,2004,2508173.07692
Chicago White Sox,2005,2784370.37037
Chicago White Sox,2006,3951948.73077
Chicago White Sox,2007,4179685.88462
Chicago White Sox,2008,4488493.77778
Chicago White Sox,2009,3694942.30769
Chicago White Sox,2010,4058846.15385
Chicago White Sox,2011,4732925.92593
Chicago White Sox,2012,3876780.0
Cincinnati Reds,1985,379996.227273
Cincinnati Reds,1986,396879.6
Cincinnati Reds,1987,356980.769231
Cincinnati Reds,1988,355536.36
Cincinnati Reds,1989,381793.103448
Cincinnati Reds,1990,422647.058824
Cincinnati Reds,1991,1011743.57692
Cincinnati Reds,1992,1330796.25926
Cincinnati Reds,1993,1359989.87879
Cincinnati Reds,1994,1321349.45161
Cincinnati Reds,1995,1268960.88235
Cincinnati Reds,1996,1215038.11429
Cincinnati Reds,1997,1244200.0
Cincinnati Reds,1998,676617.647059
Cincinnati Reds,1999,1095572.93548
Cincinnati Reds,2000,1735822.22222
Cincinnati Reds,2001,1814296.2963
Cincinnati Reds,2002,1501679.66667
Cincinnati Reds,2003,2119845.25
Cincinnati Reds,2004,1664830.35714
Cincinnati Reds,2005,2063086.1
Cincinnati Reds,2006,2175339.96429
Cincinnati Reds,2007,2210483.22581
Cincinnati Reds,2008,2647060.53571
Cincinnati Reds,2009,3198195.65217
Cincinnati Reds,2010,2760059.30769
Cincinnati Reds,2011,2531571.13333
Cincinnati Reds,2012,2935843.42857
Cleveland Indians,1985,327583.3
Cleveland Indians,1986,251919.354839
Cleveland Indians,1987,304062.5
Cleveland Indians,1988,406204.545455
Cleveland Indians,1989,336833.333333
Cleveland Indians,1990,439000.0
Cleveland Indians,1991,587833.333333
Cleveland Indians,1992,267801.257143
Cleveland Indians,1993,464025.0
Cleveland Indians,1994,871157.142857
Cleveland Indians,1995,1083938.14286
Cleveland Indians,1996,1551850.32258
Cleveland Indians,1997,1832337.41935
Cleveland Indians,1998,1842429.27273
Cleveland Indians,1999,1920485.84211
Cleveland Indians,2000,2918491.19231
Cleveland Indians,2001,3105066.7
Cleveland Indians,2002,2630314.96667
Cleveland Indians,2003,1567252.70968
Cleveland Indians,2004,1143976.66667
Cleveland Indians,2005,1431120.68966
Cleveland Indians,2006,2241260.0
Cleveland Indians,2007,2126664.37931
Cleveland Indians,2008,3037310.23077
Cleveland Indians,2009,3021450.59259
Cleveland Indians,2010,2110481.58621
Cleveland Indians,2011,1681950.55172
Cleveland Indians,2012,2704493.10345
Colorado Rockies,1993,313742.424242
Colorado Rockies,1994,702568.617647
Colorado Rockies,1995,948742.138889
Colorado Rockies,1996,1296123.32258
Colorado Rockies,1997,1451988.9
Colorado Rockies,1998,1682821.6
Colorado Rockies,1999,1821642.26471
Colorado Rockies,2000,2182542.5
Colorado Rockies,2001,2751589.76923
Colorado Rockies,2002,2105594.18519
Colorado Rockies,2003,2239322.23333
Colorado Rockies,2004,2337327.39286
Colorado Rockies,2005,1649620.68966
Colorado Rockies,2006,1288531.25
Colorado Rockies,2007,2078500.0
Colorado Rockies,2008,2640596.15385
Colorado Rockies,2009,2785222.22222
Colorado Rockies,2010,2904379.31034
Colorado Rockies,2011,3390310.42308
Colorado Rockies,2012,2692054.17241
Detroit Tigers,1985,517407.15
Detroit Tigers,1986,456878.296296
Detroit Tigers,1987,527081.782609
Detroit Tigers,1988,559546.565217
Detroit Tigers,1989,582554.0
Detroit Tigers,1990,533128.424242
Detroit Tigers,1991,953533.32
Detroit Tigers,1992,975815.5
Detroit Tigers,1993,1230650.48387
Detroit Tigers,1994,1336983.90323
Detroit Tigers,1995,1122550.54545
Detroit Tigers,1996,732437.5
Detroit Tigers,1997,595586.206897
Detroit Tigers,1998,687571.428571
Detroit Tigers,1999,1073225.47059
Detroit Tigers,2000,2157969.14815
Detroit Tigers,2001,1907720.25
Detroit Tigers,2002,1966000.0
Detroit Tigers,2003,1891076.92308
Detroit Tigers,2004,1672571.42857
Detroit Tigers,2005,2467571.42857
Detroit Tigers,2006,2950459.5
Detroit Tigers,2007,3268978.24138
Detroit Tigers,2008,4589506.53333
Detroit Tigers,2009,4110183.75
Detroit Tigers,2010,4550552.88889
Detroit Tigers,2011,3914823.37037
Detroit Tigers,2012,4562068.96552
Florida Marlins,1993,568545.441176
Florida Marlins,1994,584675.675676
Florida Marlins,1995,662588.675676
Florida Marlins,1996,969453.125
Florida Marlins,1997,1570725.80645
Florida Marlins,1998,1033066.675
Florida Marlins,1999,585694.444444
Florida Marlins,2000,709714.285714
Florida Marlins,2001,1153629.03226
Florida Marlins,2002,1499282.75
Florida Marlins,2003,1648333.33333
Florida Marlins,2004,1560853.40741
Florida Marlins,2005,2237364.22222
Florida Marlins,2006,586860.0
